timestamp,machine_id,operation_id,energy_kWh,voltage_V,current_A,power_factor,reactive_power_kVAR,frequency_Hz,machine_utilization_%,production_output_units,operator_count,material_usage_kg,ambient_temp_C,humidity_%,shift_type,production_mode,forecast_energy_kWh,energy_state,allocation_recommendation
2025-07-01 00:00:00,MCH_1,OP_05,9.75,395.41,24.66,0.974,3.42,50.04,60.95,119,4,57.53,22.14,50.93,Night,Idle,11.18,Normal,Maintain
2025-07-01 00:05:00,MCH_1,OP_01,10.64,400.63,26.55,0.859,2.78,49.91,66.77,88,3,57.32,28.02,61.63,Night,Setup,11.25,High,Reduce Load
2025-07-01 00:10:00,MCH_1,OP_08,10.92,395.18,27.64,0.898,3.34,50.04,60.86,84,2,45.52,29.38,59.82,Day,Setup,10.69,High,Reduce Load
2025-07-01 00:15:00,MCH_1,OP_05,10.87,405.2,26.83,0.935,3.9,49.91,69.51,96,3,58.55,24.3,46.94,Night,Idle,12.94,High,Reduce Load
2025-07-01 00:20:00,MCH_1,OP_05,10.07,400.87,25.13,0.966,4.34,49.9,82.9,104,3,42.41,25.49,56.39,Day,Production,9.69,High,Reduce Load
2025-07-01 00:25:00,MCH_1,OP_08,11.02,397.31,27.75,0.891,2.19,49.96,91.45,106,3,43.44,31.46,65.83,Day,Production,10.56,High,Reduce Load
2025-07-01 00:30:00,MCH_1,OP_01,10.59,402.59,26.3,0.928,4.41,49.93,85.24,88,2,34.48,25.69,53.39,Night,Idle,10.72,High,Reduce Load
2025-07-01 00:35:00,MCH_1,OP_06,11.04,404.12,27.32,0.856,3.76,50.0,86.59,111,2,38.22,33.95,65.45,Day,Idle,9.7,High,Reduce Load
2025-07-01 00:40:00,MCH_1,OP_09,10.62,403.64,26.32,0.926,2.28,50.18,72.74,110,4,37.34,34.74,49.06,Night,Production,12.2,High,Reduce Load
2025-07-01 00:45:00,MCH_1,OP_04,11.13,408.09,27.27,0.936,4.41,49.85,71.76,110,2,40.45,24.92,57.79,Night,Production,10.73,High,Reduce Load
2025-07-01 00:50:00,MCH_1,OP_10,11.25,397.58,28.3,0.909,3.57,49.97,94.06,93,2,42.53,33.71,65.62,Day,Setup,10.39,High,Reduce Load
2025-07-01 00:55:00,MCH_1,OP_02,10.93,395.39,27.64,0.891,3.97,50.07,63.0,88,2,54.49,30.11,54.07,Day,Setup,10.51,High,Reduce Load
2025-07-01 01:00:00,MCH_1,OP_04,10.85,399.54,27.15,0.946,2.17,49.85,68.56,96,4,38.82,25.79,58.57,Night,Setup,11.6,High,Reduce Load
2025-07-01 01:05:00,MCH_1,OP_01,12.12,396.46,30.57,0.906,3.65,50.0,63.68,81,3,39.15,23.23,48.85,Night,Setup,10.9,High,Reduce Load
2025-07-01 01:10:00,MCH_1,OP_09,11.43,396.66,28.8,0.956,2.48,50.15,78.76,95,2,32.09,30.89,41.52,Night,Setup,12.16,High,Reduce Load
2025-07-01 01:15:00,MCH_1,OP_05,10.44,399.69,26.11,0.971,2.63,50.03,78.19,103,2,55.03,23.04,59.94,Night,Setup,11.24,High,Reduce Load
2025-07-01 01:20:00,MCH_1,OP_07,11.06,397.93,27.78,0.875,2.7,49.97,62.25,83,2,59.13,27.83,68.46,Day,Idle,10.37,High,Reduce Load
2025-07-01 01:25:00,MCH_1,OP_07,10.85,396.26,27.39,0.886,2.81,50.0,88.64,98,2,35.5,33.76,45.56,Night,Production,10.64,High,Reduce Load
2025-07-01 01:30:00,MCH_1,OP_04,10.79,403.5,26.74,0.971,3.31,49.92,85.2,88,3,51.75,31.61,42.48,Night,Maintenance,9.65,High,Reduce Load
2025-07-01 01:35:00,MCH_1,OP_04,11.81,396.99,29.75,0.915,3.97,49.79,82.15,98,3,30.47,28.05,51.58,Night,Idle,11.84,High,Reduce Load
2025-07-01 01:40:00,MCH_1,OP_03,11.97,400.76,29.86,0.975,3.13,49.99,84.97,102,4,46.64,32.23,51.36,Night,Maintenance,11.71,High,Reduce Load
2025-07-01 01:45:00,MCH_1,OP_03,10.36,405.29,25.56,0.887,4.48,49.88,73.32,92,2,36.83,25.59,53.17,Night,Maintenance,9.92,High,Reduce Load
2025-07-01 01:50:00,MCH_1,OP_03,11.67,403.48,28.92,0.98,3.39,49.8,93.74,101,2,48.37,26.91,64.15,Night,Setup,11.07,High,Reduce Load
2025-07-01 01:55:00,MCH_1,OP_08,12.4,397.18,31.22,0.891,4.24,49.99,73.34,89,2,41.21,33.74,48.42,Night,Setup,13.25,High,Reduce Load
2025-07-01 02:00:00,MCH_1,OP_06,11.67,399.1,29.23,0.949,2.04,49.88,85.47,101,2,41.14,25.87,46.08,Day,Maintenance,13.09,High,Reduce Load
2025-07-01 02:05:00,MCH_1,OP_06,11.02,403.62,27.31,0.91,4.17,50.06,76.72,114,2,38.36,29.48,53.8,Day,Production,10.77,High,Reduce Load
2025-07-01 02:10:00,MCH_1,OP_02,11.93,399.43,29.88,0.889,5.0,50.07,87.46,96,2,35.32,31.07,65.95,Day,Production,12.6,High,Reduce Load
2025-07-01 02:15:00,MCH_1,OP_09,11.03,393.79,28.0,0.862,4.77,49.85,91.4,96,3,48.69,30.16,62.88,Day,Maintenance,11.29,High,Reduce Load
2025-07-01 02:20:00,MCH_1,OP_10,12.16,405.17,30.02,0.888,3.34,50.05,68.84,88,4,39.63,23.1,55.14,Day,Setup,12.67,High,Reduce Load
2025-07-01 02:25:00,MCH_1,OP_05,11.38,406.49,28.0,0.904,2.76,49.81,89.18,100,4,45.61,33.91,61.34,Night,Setup,11.2,High,Reduce Load
2025-07-01 02:30:00,MCH_1,OP_03,11.66,402.09,29.01,0.973,3.9,49.88,78.59,97,4,32.46,25.29,62.24,Night,Setup,9.66,High,Reduce Load
2025-07-01 02:35:00,MCH_1,OP_07,11.84,397.42,29.8,0.935,3.33,50.05,73.04,115,3,31.55,27.28,55.75,Day,Idle,10.58,High,Reduce Load
2025-07-01 02:40:00,MCH_1,OP_09,11.91,401.53,29.66,0.95,3.53,50.04,90.42,105,2,31.29,32.16,50.35,Night,Production,11.59,High,Reduce Load
2025-07-01 02:45:00,MCH_1,OP_04,12.03,402.99,29.84,0.922,3.61,49.89,93.97,108,2,49.73,33.46,66.14,Night,Idle,11.86,High,Reduce Load
2025-07-01 02:50:00,MCH_1,OP_03,11.03,397.04,27.79,0.866,4.91,49.99,60.42,96,2,32.81,32.92,68.69,Day,Setup,10.31,High,Reduce Load
2025-07-01 02:55:00,MCH_1,OP_01,12.17,403.98,30.13,0.897,3.42,50.08,61.01,94,2,49.7,26.12,44.78,Night,Idle,11.36,High,Reduce Load
2025-07-01 03:00:00,MCH_1,OP_02,11.91,398.45,29.89,0.91,2.16,50.04,79.13,110,4,57.59,26.85,45.62,Day,Idle,12.65,High,Reduce Load
2025-07-01 03:05:00,MCH_1,OP_03,11.91,397.5,29.96,0.921,3.47,50.04,82.79,112,4,46.75,28.83,47.91,Day,Idle,12.01,High,Reduce Load
2025-07-01 03:10:00,MCH_1,OP_08,11.46,413.17,27.74,0.935,4.43,50.09,93.98,99,4,55.84,34.88,65.71,Day,Maintenance,11.55,High,Reduce Load
2025-07-01 03:15:00,MCH_1,OP_04,12.32,403.95,30.51,0.862,2.7,49.93,62.78,100,4,52.45,25.07,52.77,Night,Production,12.35,High,Reduce Load
2025-07-01 03:20:00,MCH_1,OP_03,12.66,400.19,31.65,0.859,3.0,50.18,94.81,101,3,43.64,26.63,66.38,Day,Setup,13.95,High,Reduce Load
2025-07-01 03:25:00,MCH_1,OP_08,11.73,389.98,30.07,0.929,4.18,50.0,74.29,116,2,39.46,28.34,48.18,Day,Setup,11.77,High,Reduce Load
2025-07-01 03:30:00,MCH_1,OP_04,12.34,398.68,30.96,0.889,3.31,49.92,65.31,95,2,49.33,22.89,67.03,Night,Setup,11.37,High,Reduce Load
2025-07-01 03:35:00,MCH_1,OP_07,12.14,399.07,30.42,0.934,2.81,49.89,82.4,90,2,51.27,24.39,66.63,Night,Setup,11.54,High,Reduce Load
2025-07-01 03:40:00,MCH_1,OP_02,12.27,397.85,30.84,0.964,2.62,50.02,82.83,104,3,45.33,27.06,51.56,Night,Idle,13.68,High,Reduce Load
2025-07-01 03:45:00,MCH_1,OP_10,11.91,405.32,29.39,0.951,2.68,50.11,93.14,101,3,31.37,32.14,63.06,Day,Setup,10.37,High,Reduce Load
2025-07-01 03:50:00,MCH_1,OP_08,11.72,404.1,28.99,0.879,4.78,49.92,67.41,91,4,50.08,34.51,52.67,Day,Idle,10.3,High,Reduce Load
2025-07-01 03:55:00,MCH_1,OP_03,11.94,397.7,30.03,0.855,4.73,50.06,84.56,110,4,41.21,23.13,55.81,Night,Production,10.63,High,Reduce Load
2025-07-01 04:00:00,MCH_1,OP_09,12.08,402.33,30.03,0.869,4.79,49.91,75.15,82,3,45.5,32.67,69.03,Day,Production,14.08,High,Reduce Load
